productId,platform,brand,productName,displayNameCandidate,changed,changeType,riskLevel,reason
774,oliveyoung,온그리디언츠,[3초광 미스트/수분 속광] 온그리디언츠 스킨 베리어 속광 미스트 100ml 기획 (+50ml),[3초광 미스트/수분 속광] 온그리디언츠 스킨 베리어 속광 미스트 100ml 기획 (+50ml),False,NO_CHANGE,safe,
725,oliveyoung,웰더마,"[증정이벤트/탄력광채수분진정] 웰더마 겔마스크팩 4매, 4종 택1 (콜라겐/시카/레티놀/PDRN)","웰더마 겔마스크팩 4매, 4종 택1 (콜라겐/시카/레티놀/PDRN)",True,REMOVE_LEADING_PROMO_BRACKET,review,[증정이벤트/탄력광채수분진정]
662,oliveyoung,마몽드,[올영세일한정/화잘먹] 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 리필 기획 (+리필 80ml),마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 리필 기획 (+리필 80ml),True,REMOVE_LEADING_PROMO_BRACKET,safe,[올영세일한정/화잘먹]
612,oliveyoung,웰라쥬,[화잘먹패드] 웰라쥬 리얼 히알루로닉 블루 토너 패드 70매 기획 (+원데이키트1ea),[화잘먹패드] 웰라쥬 리얼 히알루로닉 블루 토너 패드 70매 기획 (+원데이키트1ea),False,NO_CHANGE,safe,
937,oliveyoung,주미소,[여드름기능성/대용량] 주미소 포어 퓨리파잉 살리실산 포밍 클렌저 150g 더블기획,[여드름기능성/대용량] 주미소 포어 퓨리파잉 살리실산 포밍 클렌저 150g 더블기획,False,NO_CHANGE,safe,
872,oliveyoung,센텔리안24,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 더블기획 (+15ml*2ea+푸린 피크닉매트 포켓몬),[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 더블기획 (+15ml*2ea+푸린 피크닉매트 포켓몬),False,NO_CHANGE,safe,
1452,oliveyoung,주닥,[세안종결] 주닥 약산성 로즈 68% 클렌징밀크 250ml,[세안종결] 주닥 약산성 로즈 68% 클렌징밀크 250ml,False,NO_CHANGE,safe,
413,oliveyoung,라운드랩,[저자극/약산성] 라운드랩 1025 독도 클렌저 200ml+200ml,[저자극/약산성] 라운드랩 1025 독도 클렌저 200ml+200ml,False,NO_CHANGE,safe,
1464,oliveyoung,제로이드,제로이드 더마뉴얼 클렌징젤 200ml,제로이드 더마뉴얼 클렌징젤 200ml,False,NO_CHANGE,safe,
679,oliveyoung,리쥬란,[5월 올영픽/126매 대용량/올리브영 단독] 리쥬란 포어 타이트닝 토너 패드 60매 더블 한정 기획,[5월 올영픽/126매 대용량/올리브영 단독] 리쥬란 포어 타이트닝 토너 패드 60매 더블 한정 기획,False,NO_CHANGE,safe,
