platform,productId,productKey,brand,productName,displayName,productUrl,imageUrlCandidate,extractMethod,status,failReason
musinsa,707,musinsa::4791073,innisfree,[사은품 증정] (대용량) 그린티 씨드 히알루론산 크림 80mL + 15mL 2개 + 화산송이 폼 30g 1개,(대용량) 그린티 씨드 히알루론산 크림 80mL + 15mL 2개 + 화산송이 폼 30g 1개,https://www.musinsa.com/products/4791073,https://image.msscdn.net/images/goods_img/20250214/4791073/4791073_17822800077695_500.jpg,og:image,OK,
musinsa,545,musinsa::4502057,irecipe,[콜라보] 블랙헤드 세라마이드 유자 힐링 클렌징 밤 135ml+여행용 10g+헤어핀 굿즈,[콜라보] 블랙헤드 세라마이드 유자 힐링 클렌징 밤 135ml+여행용 10g+헤어핀 굿즈,https://www.musinsa.com/products/4502057,https://image.msscdn.net/images/goods_img/20241010/4502057/4502057_17763922324282_500.png,og:image,OK,
musinsa,1416,musinsa::6239431,imfrom,라이스 토너 150ml,라이스 토너 150ml,https://www.musinsa.com/products/6239431,https://image.msscdn.net/images/goods_img/20260401/6239431/6239431_17750982085303_500.jpg,og:image,OK,
musinsa,1528,musinsa::5289207,lush,스토미 웨더 200ml - 보디 스프레이,스토미 웨더 200ml - 보디 스프레이,https://www.musinsa.com/products/5289207,https://image.msscdn.net/images/goods_img/20250804/5289207/5289207_17568837394854_500.jpg,og:image,OK,
musinsa,733,musinsa::3373309,torriden,[SET] 다이브인 저분자 히알루론산 스킨부스터 200ml  x 2개,[SET] 다이브인 저분자 히알루론산 스킨부스터 200ml x 2개,https://www.musinsa.com/products/3373309,https://image.msscdn.net/images/goods_img/20230620/3373309/3373309_17811725259880_500.jpg,og:image,OK,
musinsa,327,musinsa::6332438,beyond,비욘드 딥모이스처 스무딩 바디에멀전 500ml,비욘드 딥모이스처 스무딩 바디에멀전 500ml,https://www.musinsa.com/products/6332438,https://image.msscdn.net/images/goods_img/20260417/6332438/6332438_17767386579473_500.jpg,og:image,OK,
musinsa,1348,musinsa::4983383,brookesia23,브리즈핏 톤업 선베이스,브리즈핏 톤업 선베이스,https://www.musinsa.com/products/4983383,https://image.msscdn.net/images/goods_img/20250403/4983383/4983383_17676742047122_500.jpg,og:image,OK,
musinsa,698,musinsa::5047443,snature,[2PACK] 아쿠아 스쿠알란 세럼 70ml,[2PACK] 아쿠아 스쿠알란 세럼 70ml,https://www.musinsa.com/products/5047443,https://image.msscdn.net/images/goods_img/20250421/5047443/5047443_17636898884574_500.jpg,og:image,OK,
musinsa,1094,musinsa::2626564,illiyoon,프레쉬모이스춰 바디워시 500ml 2입,프레쉬모이스춰 바디워시 500ml 2입,https://www.musinsa.com/products/2626564,https://image.msscdn.net/images/goods_img/20220621/2626564/2626564_17417471559510_500.jpg,og:image,OK,
musinsa,267,musinsa::2605792,illiyoon,[증정] 무향 100시간 보습 세라마이드 아토 로션 350ml 2입,[증정] 무향 100시간 보습 세라마이드 아토 로션 350ml 2입,https://www.musinsa.com/products/2605792,https://image.msscdn.net/images/goods_img/20220609/2605792/2605792_17720608586930_500.jpg,og:image,OK,
musinsa,232,musinsa::5848372,wellage,리얼 히알루로닉 100 토너 500ml,리얼 히알루로닉 100 토너 500ml,https://www.musinsa.com/products/5848372,https://image.msscdn.net/images/goods_img/20251223/5848372/5848372_17677449181750_500.jpg,og:image,OK,
musinsa,665,musinsa::5006552,dermab,프레쉬 모이스처 바디 로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,프레쉬 모이스처 바디 로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,https://www.musinsa.com/products/5006552,https://image.msscdn.net/images/goods_img/20250409/5006552/5006552_17823447256557_500.jpg,og:image,OK,
musinsa,770,musinsa::5006417,dermab,데일리 모이스처 바디로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,데일리 모이스처 바디로션 400MLX 2개+[증정]쿨시트1매+세라엠디로션20ml,https://www.musinsa.com/products/5006417,https://image.msscdn.net/images/goods_img/20250409/5006417/5006417_17823449400735_500.jpg,og:image,OK,
musinsa,509,musinsa::2512802,skin1004,마다가스카르 센텔라 히알루-시카 워터핏 선 세럼 50ml,마다가스카르 센텔라 히알루-시카 워터핏 선 세럼 50ml,https://www.musinsa.com/products/2512802,https://image.msscdn.net/images/goods_img/20220425/2512802/2512802_3_500.jpg,og:image,OK,
